行政區,路權單位,申挖種類,工程類型,鋪面,修復管理費,路面修復費,施工期限_起,施工期限_止,施工面積,修復面積,施工地點
平鎮區,工務局,一般,搶修,柏油,224,10360,104/12/31,105/01/01,2.8,28,平鎮區里鄉道：桃72號(線)道路9公里+530公尺至9公里+530公尺[平鎮區平東路389號]
平鎮區,工務局,一般,搶修,柏油,276,5180,104/12/31,105/01/01,3.45,14,平鎮區廣達里廣平路至廣明街[平鎮區廣平路廣明街口]
桃園區,工務局,一般,搶修,柏油,281,5180,104/12/31,104/12/31,3.51,14,桃園區中山里中平路21號至中平21號[桃園區中平路21號前]
大溪區,工務局,一般,緊急性孔蓋啟閉,柏油,320,4532,104/12/29,104/12/29,4,12.25,大溪區里鄉道：桃60號(線)道路5公里+900公尺至5公里+900公尺[大溪區大鶯路177巷前100公尺處]
龜山區,龜山區,一般,搶修,柏油,787,5076,104/12/29,104/12/30,9.84,13.72,龜山區文化里復興街306號至復興街323號[路面漏水]
中壢區,工務局,一般,搶修,柏油,269,7252,104/12/29,104/12/29,3.36,19.6,中壢區里縣道：114號(線)道路26公里+694公尺至26公里+694公尺[中堅里中山東路四段81號與87號前]
楊梅區,工務局,一般,搶修,柏油,640,5180,104/12/29,104/12/30,8,14,楊梅區里鄉道：桃110號(線)道路1公里+970公尺至1公里+970公尺[中正路419號與421號門口前]
中壢區,工務局,一般,搶修,柏油,532,10360,104/12/29,104/12/30,6.65,28,中壢區里縣道：112號(線)道路21公里+200公尺至21公里+200公尺[中壢區環中東路二段766號對面(731號)]
八德區,工務局,一般,搶修,柏油,120,5180,104/12/29,104/12/30,1.5,14,八德區興仁里中正路至興仁路[八德區中正路興仁路口]
桃園區,工務局,一般,搶修,柏油,343,7770,104/12/29,104/12/30,4.29,21,桃園區里縣道：110號(線)道路18公里+230公尺至18公里+230公尺[桃園區建國里桃鶯路與大豐路口]
楊梅區,工務局,一般,搶修,柏油,83,6475,104/12/29,104/12/30,1.04,17.5,楊梅區梅新里中山北路[一段293巷口旁]
中壢區,工務局,一般,搶修,柏油,488,10360,104/12/28,104/12/29,6.1,28,中壢區里鄉道：桃45號(線)道路10公里+640公尺至10公里+640公尺[中壢區民權路二段147號]
中壢區,工務局,一般,搶修,柏油,527,10715,104/12/28,104/12/29,6.59,28.96,中壢區健行里健行路97巷至健行路[中壢區健行路97巷口]
新屋區,工務局,一般,搶修,柏油,112,3238,104/12/29,104/12/31,1.4,8.75,新屋區里鄉道：桃109號(線)道路1公里+777公尺至1公里+777公尺[新屋區中興路642巷口旁(提升手孔1座)原案號10437732展延]
中壢區,工務局,一般,孔蓋昇降,柏油,640,0,104/12/29,104/12/31,8,0,中壢區青埔里高鐵南路二段至文智[路口，共2處。]
大溪區,大溪區,一般,搶修,柏油,1000,7400,104/12/28,104/12/28,12.5,20,大溪區南興里仁和路二段571巷26號[大溪區仁和路二段571巷26號]
蘆竹區,工務局,一般,搶修,柏油,907,6216,104/12/28,104/12/29,11.34,16.8,蘆竹區內厝里長安路一段154號至長安一段154號[蘆竹區長安路一段154號前]
大園區,工務局,一般,搶修,柏油,569,9065,104/12/28,104/12/29,7.11,24.5,大園區大園里里中正東路82號[前]
中壢區,中壢區,一般,搶修,柏油,214,7400,104/12/28,104/12/29,2.67,20,中壢區五權里正大街至正光街177號[中壢區正大街與正光街177號口]
龜山區,龜山區,一般,搶修,柏油,548,3652,104/12/26,104/12/27,6.85,9.87,龜山區龜山里萬壽路二段810巷15號至萬壽二段810巷17號[地下漏水]
